period,sales.kg,year,month,day,week,quincena,price,wd,wpd,Variants,TRPs,adstocks,trend1,trend2,y2002
30,918.484,2002,7,28,30,0,24.6647530143074,6192.37420170739,937.298565902113,91,1182.21,9377.69870445199,30,3.43398720448515,91
31,1084.929,2002,8,4,31,1,24.8913310910501,6237.85677972482,965.657372846904,91,1241.53,9681.45883400679,31,3.46573590279973,91
32,918.807,2002,8,11,32,0,25.0148523855119,6215.43133551129,1072.60244050299,92,1014.76,9728.07295060611,32,3.49650756146648,92
33,1087.361,2002,8,18,33,1,24.9462332521945,6208.83856878361,1226.19253221949,94,977.22,9732.4856555455,33,3.52636052461616,94
34,927.589,2002,8,25,34,0,24.6448735716178,6225.04132042615,1289.84258322048,96,905.7,9664.93708999095,34,3.55534806148941,96
35,1037.083,2002,9,1,35,1,24.5383850709531,6273.33313865054,1349.31205551068,95,913.25,9611.69338099186,35,3.58351893845611,95
36,935.128,2002,9,8,36,0,24.6897681029348,6278.32293721419,969.304311138219,95,820.07,9470.59404289267,36,3.61091791264422,95
37,842.872,2002,9,15,37,1,24.6230670507689,6332.17162184412,1082.83175097917,94,955.63,9479.1646386034,37,3.63758615972639,94
38,958.85,2002,9,22,38,0,24.4440629685723,6350.11525049708,986.836671259393,94,1018.53,9549.77817474307,38,3.66356164612965,94
39,949.104,2002,9,29,39,0,24.0111256162649,6327.0389238195,1412.92490870096,94,1280.09,9874.89035726876,39,3.68887945411394,94
40,1049.499,2002,10,6,40,1,24.1086386996118,6351.63391975185,1302.20602628283,94,1101.05,9988.45132154188,40,3.71357206670431,94
41,874.395,2002,10,13,41,0,24.6874587345879,6409.03933941896,911.534719779439,94,1032.07,10021.6761893877,41,3.73766961828337,94
42,988.871,2002,10,20,42,1,24.8109254177877,6527.47214030172,831.961645803491,93,965.51,9985.01857044892,42,3.76120011569356,93
43,832.601,2002,10,27,43,0,24.7872689916199,6552.22721135293,1048.37202000769,94,1042.6,10029.116713404,43,3.78418963391826,94
44,1015.238,2002,11,3,44,1,24.4680223961104,6631.19939443093,885.03863941669,94,972.08,9998.28504206363,44,3.80666248977032,94
45,934.386,2002,11,10,45,0,24.253512534612,6647.0717778234,739.262037173779,95,1030.77,10029.2265378573,45,3.8286413964891,95
46,1006.776,2002,11,17,46,1,24.0378773814246,6667.59110065974,1175.79533189421,95,884.87,9911.17388407154,46,3.85014760171006,95
47,814.034,2002,11,24,47,0,24.4902390614142,6675.93305533488,777.45810116911,97,823.29,9743.34649566439,47,3.87120101090789,97
48,885.641,2002,12,1,48,1,24.3887219206825,6717.51531593082,769.512231469433,97,712.56,9481.57184609795,48,3.89182029811063,97
49,1046.161,2002,12,8,49,0,24.698388900088,6692.14195789987,1211.73381117737,97,774.98,9308.39466148815,49,3.91202300542815,97
50,1176.648,2002,12,15,50,1,23.9125499029635,6604.17231404405,1332.23297553091,97,564.4,8941.95519533934,50,3.93182563272433,97
